id_jogo,cod,rodada,temporada,data,horario,jogo,placar,odds_mandante,odds_empate,odds_visitante,site_apostas,time,pos_rodada,pos_adv_rodada,condicao,pts,vit,diff_gols,pr_vitoria,pr_empate,e_pontos,surpresa,cum_surpresa,cum_pts,cum_vit,cum_saldo,pts_4,trocou,m,di,tratado,periodo
84,20179CAMSPO1,9,2017,2017-06-22,00:45,Atlético-MG - Sport,2-2,1.43,4.41,7.07,15,Atlético-MG,16,17,mandante,1,0,0,0.655082140808613,0.212418925477623,2.17766534790346,-1.17766534790346,-4.61465374209199,10,2,-2,4,0,1.5,,1,0
99,201710CHACAM2,10,2017,2017-06-25,22:00,Chapecoense - Atlético-MG,0-1,1.72,3.71,4.72,14,Atlético-MG,14,13,visitante,3,1,1,0.199345220987917,0.253614405138266,0.851650068102016,2.14834993189798,-2.46630381019401,13,3,-1,7,0,1.5,,1,0
103,201711CAMCRU1,11,2017,2017-07-02,19:00,Atlético-MG - Cruzeiro,3-1,2.37,3.24,3.01,15,Atlético-MG,7,13,mandante,3,1,2,0.39700548343368,0.29040215917834,1.48141860947938,1.51858139052062,-0.947722419673387,16,4,1,10,0,1.5,,1,0
118,201712BOTCAM2,12,2017,2017-07-09,22:00,Botafogo - Atlético-MG,1-1,2.03,3.35,3.69,15,Atlético-MG,8,11,visitante,1,0,0,0.2551523860622,0.281048449125229,1.04650560731183,-0.0465056073118297,-0.994228026985217,17,4,1,8,0,1.5,,1,0
121,201713CAMSAN1,13,2017,2017-07-12,22:30,Atlético-MG - Santos,0-1,1.6,3.79,5.69,15,Atlético-MG,11,3,mandante,0,0,-1,0.587075416994482,0.24784186469424,2.00906811567769,-2.00906811567769,-3.0032961426629,17,4,0,7,0,1.5,,1,0
133,201714ACGCAM2,14,2017,2017-07-16,19:00,Atlético-GO - Atlético-MG,1-2,3.26,3.35,2.18,15,Atlético-MG,10,20,visitante,3,1,1,0.431135218785036,0.28055963491086,1.57396529126597,1.42603470873403,-1.57726143392887,20,5,1,7,0,1.5,,1,0
145,201715CAMBAH1,15,2017,2017-07-20,00:45,Atlético-MG - Bahia,0-2,1.71,3.59,5.03,15,Atlético-MG,11,12,mandante,0,0,-2,0.550574884367597,0.262251546592922,1.91397619969571,-1.91397619969571,-3.49123763362458,20,5,-1,4,1,1.5,0,1,
158,201716CAMVAS1,16,2017,2017-07-23,22:00,Atlético-MG - Vasco,1-2,1.76,3.65,4.57,15,Atlético-MG,13,8,mandante,0,0,-1,0.535529108088238,0.258227734311041,1.86481505857575,-1.86481505857575,-5.35605269220034,20,5,-2,3,0,1.5,,1,1
166,201717CTBCAM2,17,2017,2017-07-30,19:00,Coritiba - Atlético-MG,0-2,2.35,3.23,3.04,15,Atlético-MG,11,17,visitante,3,1,2,0.309138744873481,0.2909541128221,1.21837034744254,1.78162965255746,-3.57442303964288,23,6,0,6,0,1.5,,1,1
172,201718CAMCOR1,18,2017,2017-08-03,00:00,Atlético-MG - Corinthians,0-2,2.15,3.3,3.41,15,Atlético-MG,10,1,mandante,0,0,-2,0.438209466695224,0.285500107089313,1.60012850717498,-1.60012850717498,-5.17455154681787,23,6,-2,3,0,1.5,,1,1
